,Genre,,,Awards,Awards - Split 1 ,Awards - Split 2,Awards - Split 3,Total Awards,Metascore,imdbVotes
204,Crime, Drama, Mystery,26 wins & 3 nominations.,26,3,,29,82,"76,875"
205,Drama, Thriller,,Nominated for 1 Oscar. Another 54 wins & 22 nominations.,1,54,22,77,83,"184,555"
206,Film-Noir, Mystery,,Nominated for 3 Oscars. Another 4 wins.,3,4,,7,N/A,"122,177"
207,Comedy, Drama, Romance,17 wins & 29 nominations.,17,29,,46,N/A,"52,091"
208,Drama, Sci-Fi,,2 wins & 1 nomination.,2,1,,3,N/A,"76,654"
209,Comedy, Drama, Sci-Fi,Nominated for 3 Oscars. Another 38 wins & 66 nominations.,3,38,66,107,90,"724,665"
210,Drama,,,Won 1 Oscar. Another 15 wins & 6 nominations.,1,15,6,22,N/A,"29,367"
211,Adventure, Family, Fantasy,Nominated for 1 Oscar. Another 7 wins & 8 nominations.,1,7,8,16,77,"314,262"
212,Drama, Family,,1 nomination.,1,,,1,N/A,"179,414"
213,Animation, Adventure, Fantasy,3 wins & 1 nomination.,3,1,,4,N/A,"106,455"
214,Drama, Romance,,1 win & 7 nominations.,1,7,,8,77,"202,165"
215,Action, Adventure, Fantasy,Nominated for 5 Oscars. Another 51 wins & 115 nominations.,5,51,115,171,81,"665,521"
216,Action, Adventure, Comedy,2 wins.,2,,,2,N/A,"39,417"
217,Drama, History,,Won 2 Oscars. Another 9 wins & 5 nominations.,2,9,5,16,N/A,"68,128"
218,Adventure, Drama, Fantasy,Nominated for 3 Oscars. Another 45 wins & 92 nominations.,3,45,92,140,87,"594,362"
219,Drama, Sport,,Won 3 Oscars. Another 16 wins & 21 nominations.,3,16,21,40,69,"407,892"
220,Crime, Drama, Mystery,Nominated for 1 Oscar. Another 10 wins & 35 nominations.,1,10,35,46,74,"436,571"
221,Crime, Drama, Film-Noir,6 wins & 1 nomination.,6,1,,7,N/A,"78,182"
222,Biography, Drama, History,Won 8 Oscars. Another 27 wins & 20 nominations.,8,27,20,55,N/A,"184,127"
223,Crime, Drama, Horror,4 wins.,4,,,4,N/A,"45,903"
